Country,Year,Production_tonnes
Brazil,2015,5508451.0
Brazil,2016,6834421.0
Brazil,2017,4342812.0
Brazil,2018,5469236.0
Brazil,2019,5590815.0
Brazil,2020,6344079.0
Brazil,2021,7878413.0
Brazil,2022,10343182.0
Brazil,2023,7730188.0
Brazil,2024,7633178.0
Egypt,2015,9607736.0
Egypt,2016,9342538.0
Egypt,2017,8421071.0
Egypt,2018,8348629.0
Egypt,2019,8558807.0
Egypt,2020,9101785.0
Egypt,2021,9842410.95
Egypt,2022,9622993.0
Egypt,2023,9065380.0
Egypt,2024,9400000.0
India,2015,86530000.0
India,2016,92290000.0
India,2017,98510220.0
India,2018,99869520.0
India,2019,103596230.0
India,2020,107860510.0
India,2021,109586500.0
India,2022,107742070.0
India,2023,110553675.31
India,2024,113292368.0
Italy,2015,7394494.7
Italy,2016,8037872.1
Italy,2017,6966465.0
Italy,2018,7104650.0
Italy,2019,6739470.0
Italy,2020,6716180.0
Italy,2021,7294570.0
Italy,2022,6609520.0
Italy,2023,6894470.0
Italy,2024,6213210.0
Kenya,2015,238600.0
Kenya,2016,214700.0
Kenya,2017,165200.0
Kenya,2018,336600.0
Kenya,2019,366200.0
Kenya,2020,404700.0
Kenya,2021,349102.0
Kenya,2022,368696.0
Kenya,2023,309492.0
Kenya,2024,312200.0
Nigeria,2015,60000.0
Nigeria,2016,60000.0
Nigeria,2017,82758.0
Nigeria,2018,88362.0
Nigeria,2019,86900.0
Nigeria,2020,55000.0
Nigeria,2021,36944.0
Nigeria,2022,31373.56
Nigeria,2023,48868.93
Nigeria,2024,43926.98
United States,2015,55839540.0
United States,2016,62831507.0
United States,2017,47379810.0
United States,2018,51305540.0
United States,2019,52580890.0
United States,2020,49751180.0
United States,2021,44803690.0
United States,2022,44897830.0
United States,2023,49313930.0
United States,2024,53650020.0
Uzbekistan,2015,6964664.0
Uzbekistan,2016,6934876.0
Uzbekistan,2017,6079164.0
Uzbekistan,2018,5410760.0
Uzbekistan,2019,6093462.0
Uzbekistan,2020,6157844.0
Uzbekistan,2021,5984756.0
Uzbekistan,2022,6270058.7
Uzbekistan,2023,6471502.47
Uzbekistan,2024,6729357.31
