Country,Element,Year,Quantity_tonnes,Flag
Brazil,Import,2015,5170439.31,A
Brazil,Export,2015,1778872.81,A
Brazil,Import,2016,6866327.13,I
Brazil,Export,2016,713313.31,A
Brazil,Import,2017,6022226.0,A
Brazil,Export,2017,617643.5,A
Brazil,Import,2018,6817138.26,A
Brazil,Export,2018,221248.64,A
Brazil,Import,2019,6576301.69,A
Brazil,Export,2019,563643.06,A
Brazil,Import,2020,6159925.81,A
Brazil,Export,2020,560878.5,A
Brazil,Import,2021,6225072.82,A
Brazil,Export,2021,1129348.65,A
Brazil,Import,2022,5716592.14,A
Brazil,Export,2022,3072779.16,A
Brazil,Import,2023,4180827.4,A
Brazil,Export,2023,2354625.26,A
Brazil,Import,2024,6647605.93,A
Brazil,Export,2024,2832373.31,A
Egypt,Import,2015,10661421.71,X
Egypt,Export,2015,13286.4,X
Egypt,Import,2016,11138436.55,X
Egypt,Export,2016,37613.03,X
Egypt,Import,2017,12943418.13,I
Egypt,Export,2017,1662.76,I
Egypt,Import,2018,12144513.54,I
Egypt,Export,2018,11954.35,I
Egypt,Import,2019,10424423.36,I
Egypt,Export,2019,2.34,A
Egypt,Import,2020,8969215.42,I
Egypt,Export,2020,8.26,I
Egypt,Import,2021,6641408.73,I
Egypt,Export,2021,5.61,I
Egypt,Import,2022,8010426.68,I
Egypt,Export,2022,0.87,A
Egypt,Import,2023,8162036.72,I
Egypt,Export,2023,2643.6,I
Egypt,Import,2024,13095852.18,I
Egypt,Export,2024,1313.46,I
India,Import,2015,511915.59,A
India,Export,2015,602899.72,A
India,Import,2016,1910832.59,A
India,Export,2016,198965.28,A
India,Import,2017,5346726.88,A
India,Export,2017,201956.14,A
India,Import,2018,85342.98,A
India,Export,2018,168314.88,A
India,Import,2019,1665.86,A
India,Export,2019,190058.07,A
India,Import,2020,221.6,A
India,Export,2020,928683.78,A
India,Import,2021,56.66,A
India,Export,2021,6090607.37,A
India,Import,2022,49.56,A
India,Export,2022,6798598.3,A
India,Import,2023,85007.6,A
India,Export,2023,157566.49,A
India,Import,2024,116428.4,A
India,Export,2024,72048.5,A
Italy,Import,2015,7148350.66,A
Italy,Export,2015,491296.99,A
Italy,Import,2016,7652727.85,A
Italy,Export,2016,454140.96,A
Italy,Import,2017,7430203.52,A
Italy,Export,2017,579565.43,A
Italy,Import,2018,7453326.38,A
Italy,Export,2018,186231.99,A
Italy,Import,2019,7474381.12,A
Italy,Export,2019,65678.57,A
Italy,Import,2020,7994395.57,A
Italy,Export,2020,61043.78,A
Italy,Import,2021,7298487.91,A
Italy,Export,2021,206908.59,A
Italy,Import,2022,6916967.04,A
Italy,Export,2022,338607.22,A
Italy,Import,2023,8674613.22,A
Italy,Export,2023,162086.37,A
Italy,Import,2024,9407912.12,A
