Area;Year;Item;Months;Unit;Value
Brazil;2015;"Consumer Prices, Food Indices (2015 = 100)";January;;95.38575
Brazil;2015;"Consumer Prices, Food Indices (2015 = 100)";February;;96.158306
Brazil;2015;"Consumer Prices, Food Indices (2015 = 100)";March;;97.283418
Brazil;2015;"Consumer Prices, Food Indices (2015 = 100)";April;;98.227177
Brazil;2015;"Consumer Prices, Food Indices (2015 = 100)";May;;99.572891
Brazil;2015;"Consumer Prices, Food Indices (2015 = 100)";June;;100.200184
Brazil;2015;"Consumer Prices, Food Indices (2015 = 100)";July;;100.851387
Brazil;2015;"Consumer Prices, Food Indices (2015 = 100)";August;;100.841237
Brazil;2015;"Consumer Prices, Food Indices (2015 = 100)";September;;101.083267
Brazil;2015;"Consumer Prices, Food Indices (2015 = 100)";October;;101.861687
Brazil;2015;"Consumer Prices, Food Indices (2015 = 100)";November;;103.725747
Brazil;2015;"Consumer Prices, Food Indices (2015 = 100)";December;;105.281686
Brazil;2016;"Consumer Prices, Food Indices (2015 = 100)";January;;107.682136
Brazil;2016;"Consumer Prices, Food Indices (2015 = 100)";February;;108.823489
Brazil;2016;"Consumer Prices, Food Indices (2015 = 100)";March;;110.172812
Brazil;2016;"Consumer Prices, Food Indices (2015 = 100)";April;;111.373713
Brazil;2016;"Consumer Prices, Food Indices (2015 = 100)";May;;112.24236
Brazil;2016;"Consumer Prices, Food Indices (2015 = 100)";June;;113.039277
Brazil;2016;"Consumer Prices, Food Indices (2015 = 100)";July;;114.531381
Brazil;2016;"Consumer Prices, Food Indices (2015 = 100)";August;;114.874915
Brazil;2016;"Consumer Prices, Food Indices (2015 = 100)";September;;114.541757
Brazil;2016;"Consumer Prices, Food Indices (2015 = 100)";October;;114.484464
Brazil;2016;"Consumer Prices, Food Indices (2015 = 100)";November;;114.255517
Brazil;2016;"Consumer Prices, Food Indices (2015 = 100)";December;;114.34687
Brazil;2017;"Consumer Prices, Food Indices (2015 = 100)";January;;114.74702
Brazil;2017;"Consumer Prices, Food Indices (2015 = 100)";February;;114.230705
Brazil;2017;"Consumer Prices, Food Indices (2015 = 100)";March;;114.619126
Brazil;2017;"Consumer Prices, Food Indices (2015 = 100)";April;;115.283862
Brazil;2017;"Consumer Prices, Food Indices (2015 = 100)";May;;114.880328
Brazil;2017;"Consumer Prices, Food Indices (2015 = 100)";June;;114.305817
Brazil;2017;"Consumer Prices, Food Indices (2015 = 100)";July;;113.768524
Brazil;2017;"Consumer Prices, Food Indices (2015 = 100)";August;;112.551157
Brazil;2017;"Consumer Prices, Food Indices (2015 = 100)";September;;112.089653
Brazil;2017;"Consumer Prices, Food Indices (2015 = 100)";October;;112.033713
Brazil;2017;"Consumer Prices, Food Indices (2015 = 100)";November;;111.608074
Brazil;2017;"Consumer Prices, Food Indices (2015 = 100)";December;;112.210781
Brazil;2018;"Consumer Prices, Food Indices (2015 = 100)";January;;113.041081
Brazil;2018;"Consumer Prices, Food Indices (2015 = 100)";February;;112.667999
Brazil;2018;"Consumer Prices, Food Indices (2015 = 100)";March;;112.746946
Brazil;2018;"Consumer Prices, Food Indices (2015 = 100)";April;;112.84845
Brazil;2018;"Consumer Prices, Food Indices (2015 = 100)";May;;113.209577
Brazil;2018;"Consumer Prices, Food Indices (2015 = 100)";June;;115.507621
Brazil;2018;"Consumer Prices, Food Indices (2015 = 100)";July;;115.3689
Brazil;2018;"Consumer Prices, Food Indices (2015 = 100)";August;;114.976644
Brazil;2018;"Consumer Prices, Food Indices (2015 = 100)";September;;115.091682
Brazil;2018;"Consumer Prices, Food Indices (2015 = 100)";October;;115.770629
Brazil;2018;"Consumer Prices, Food Indices (2015 = 100)";November;;116.222208
Brazil;2018;"Consumer Prices, Food Indices (2015 = 100)";December;;116.733561
Brazil;2019;"Consumer Prices, Food Indices (2015 = 100)";January;;117.784237
Brazil;2019;"Consumer Prices, Food Indices (2015 = 100)";February;;118.702958
Brazil;2019;"Consumer Prices, Food Indices (2015 = 100)";March;;120.329274
Brazil;2019;"Consumer Prices, Food Indices (2015 = 100)";April;;121.087394
Brazil;2019;"Consumer Prices, Food Indices (2015 = 100)";May;;120.409349
Brazil;2019;"Consumer Prices, Food Indices (2015 = 100)";June;;120.109123
Brazil;2019;"Consumer Prices, Food Indices (2015 = 100)";July;;120.121078
Brazil;2019;"Consumer Prices, Food Indices (2015 = 100)";August;;119.673528
Brazil;2019;"Consumer Prices, Food Indices (2015 = 100)";September;;119.155461
Brazil;2019;"Consumer Prices, Food Indices (2015 = 100)";October;;119.22022
Brazil;2019;"Consumer Prices, Food Indices (2015 = 100)";November;;120.062079
Brazil;2019;"Consumer Prices, Food Indices (2015 = 100)";December;;124.141858
Brazil;2020;"Consumer Prices, Food Indices (2015 = 100)";January;;124.595167
Brazil;2020;"Consumer Prices, Food Indices (2015 = 100)";February;;124.724684
Brazil;2020;"Consumer Prices, Food Indices (2015 = 100)";March;;126.149369
Brazil;2020;"Consumer Prices, Food Indices (2015 = 100)";April;;128.415913
Brazil;2020;"Consumer Prices, Food Indices (2015 = 100)";May;;128.739705
Brazil;2020;"Consumer Prices, Food Indices (2015 = 100)";June;;129.193014
Brazil;2020;"Consumer Prices, Food Indices (2015 = 100)";July;;129.257772
Brazil;2020;"Consumer Prices, Food Indices (2015 = 100)";August;;130.229148
Brazil;2020;"Consumer Prices, Food Indices (2015 = 100)";September;;133.208035
Brazil;2020;"Consumer Prices, Food Indices (2015 = 100)";October;;135.798371
Brazil;2020;"Consumer Prices, Food Indices (2015 = 100)";November;;139.230566
Brazil;2020;"Consumer Prices, Food Indices (2015 = 100)";December;;141.626627
Brazil;2021;"Consumer Prices, Food Indices (2015 = 100)";January;;143.11607
Brazil;2021;"Consumer Prices, Food Indices (2015 = 100)";February;;143.504621
Brazil;2021;"Consumer Prices, Food Indices (2015 = 100)";March;;143.634137
Brazil;2021;"Consumer Prices, Food Indices (2015 = 100)";April;;144.216963
Brazil;2021;"Consumer Prices, Food Indices (2015 = 100)";May;;144.864547
Brazil;2021;"Consumer Prices, Food Indices (2015 = 100)";June;;145.512131
Brazil;2021;"Consumer Prices, Food Indices (2015 = 100)";July;;146.35399
Brazil;2021;"Consumer Prices, Food Indices (2015 = 100)";August;;148.426259
Brazil;2021;"Consumer Prices, Food Indices (2015 = 100)";September;;149.915703
Brazil;2021;"Consumer Prices, Food Indices (2015 = 100)";October;;151.664179
Brazil;2021;"Consumer Prices, Food Indices (2015 = 100)";November;;151.599421
Brazil;2021;"Consumer Prices, Food Indices (2015 = 100)";December;;152.894589
Brazil;2022;"Consumer Prices, Food Indices (2015 = 100)";January;;154.578308
Brazil;2022;"Consumer Prices, Food Indices (2015 = 100)";February;;156.585818
Brazil;2022;"Consumer Prices, Food Indices (2015 = 100)";March;;160.341805
Brazil;2022;"Consumer Prices, Food Indices (2015 = 100)";April;;163.644484
Brazil;2022;"Consumer Prices, Food Indices (2015 = 100)";May;;164.421585
Brazil;2022;"Consumer Prices, Food Indices (2015 = 100)";June;;165.781511
Brazil;2022;"Consumer Prices, Food Indices (2015 = 100)";July;;167.918539
Brazil;2022;"Consumer Prices, Food Indices (2015 = 100)";August;;168.307089
Brazil;2022;"Consumer Prices, Food Indices (2015 = 100)";September;;167.46523
Brazil;2022;"Consumer Prices, Food Indices (2015 = 100)";October;;168.630881
Brazil;2022;"Consumer Prices, Food Indices (2015 = 100)";November;;169.537499
Brazil;2022;"Consumer Prices, Food Indices (2015 = 100)";December;;170.70315
Brazil;2023;"Consumer Prices, Food Indices (2015 = 100)";January;;171.674526
Brazil;2023;"Consumer Prices, Food Indices (2015 = 100)";February;;171.93356
Brazil;2023;"Consumer Prices, Food Indices (2015 = 100)";March;;172.063076
Brazil;2023;"Consumer Prices, Food Indices (2015 = 100)";April;;173.228728
Brazil;2023;"Consumer Prices, Food Indices (2015 = 100)";May;;173.55252
Brazil;2023;"Consumer Prices, Food Indices (2015 = 100)";June;;172.386868
Brazil;2023;"Consumer Prices, Food Indices (2015 = 100)";July;;171.609768
Brazil;2023;"Consumer Prices, Food Indices (2015 = 100)";August;;170.120324
Brazil;2023;"Consumer Prices, Food Indices (2015 = 100)";September;;168.954673
Brazil;2023;"Consumer Prices, Food Indices (2015 = 100)";October;;169.47274
Brazil;2023;"Consumer Prices, Food Indices (2015 = 100)";November;;170.508875
Brazil;2023;"Consumer Prices, Food Indices (2015 = 100)";December;;172.386868
Brazil;2024;"Consumer Prices, Food Indices (2015 = 100)";January;;174.782929
Brazil;2024;"Consumer Prices, Food Indices (2015 = 100)";February;;176.466648
Brazil;2024;"Consumer Prices, Food Indices (2015 = 100)";March;;177.373265
Brazil;2024;"Consumer Prices, Food Indices (2015 = 100)";April;;178.603675
Brazil;2024;"Consumer Prices, Food Indices (2015 = 100)";May;;179.769326
Brazil;2024;"Consumer Prices, Food Indices (2015 = 100)";June;;180.546427
Brazil;2024;"Consumer Prices, Food Indices (2015 = 100)";July;;178.733192
Brazil;2024;"Consumer Prices, Food Indices (2015 = 100)";August;;177.956091
Brazil;2024;"Consumer Prices, Food Indices (2015 = 100)";September;;178.79795
Brazil;2024;"Consumer Prices, Food Indices (2015 = 100)";October;;180.740702
Brazil;2024;"Consumer Prices, Food Indices (2015 = 100)";November;;183.525314
Brazil;2024;"Consumer Prices, Food Indices (2015 = 100)";December;;185.662341
Brazil;2025;"Consumer Prices, Food Indices (2015 = 100)";January;;187.475576
Brazil;2025;"Consumer Prices, Food Indices (2015 = 100)";February;;188.770744
Brazil;2025;"Consumer Prices, Food Indices (2015 = 100)";March;;190.97253
Brazil;2025;"Consumer Prices, Food Indices (2015 = 100)";April;;192.59149
Brazil;2025;"Consumer Prices, Food Indices (2015 = 100)";May;;192.915282
Brazil;2025;"Consumer Prices, Food Indices (2015 = 100)";June;;192.526732
Brazil;2025;"Consumer Prices, Food Indices (2015 = 100)";July;;192.008664
Brazil;2025;"Consumer Prices, Food Indices (2015 = 100)";August;;191.166805
Brazil;2025;"Consumer Prices, Food Indices (2015 = 100)";September;;190.648738
Brazil;2025;"Consumer Prices, Food Indices (2015 = 100)";October;;190.715828
Brazil;2025;"Consumer Prices, Food Indices (2015 = 100)";November;;190.696756
Brazil;2025;"Consumer Prices, Food Indices (2015 = 100)";December;;191.211637
Brazil;2015;Food price inflation;January;%;8.716566
Brazil;2015;Food price inflation;February;%;8.986834
Brazil;2015;Food price inflation;March;%;8.184919
Brazil;2015;Food price inflation;April;%;7.949847
Brazil;2015;Food price inflation;May;%;8.797666
Brazil;2015;Food price inflation;June;%;9.603551
Brazil;2015;Food price inflation;July;%;10.481603
Brazil;2015;Food price inflation;August;%;10.636429
Brazil;2015;Food price inflation;September;%;10.043587
Brazil;2015;Food price inflation;October;%;10.383322
Brazil;2015;Food price inflation;November;%;11.54447
Brazil;2015;Food price inflation;December;%;12.008111
Brazil;2016;Food price inflation;January;%;12.891219
Brazil;2016;Food price inflation;February;%;13.171179
Brazil;2016;Food price inflation;March;%;13.249322
Brazil;2016;Food price inflation;April;%;13.383807
Brazil;2016;Food price inflation;May;%;12.723813
Brazil;2016;Food price inflation;June;%;12.813442
Brazil;2016;Food price inflation;July;%;13.564508
Brazil;2016;Food price inflation;August;%;13.916607
Brazil;2016;Food price inflation;September;%;13.314262
Brazil;2016;Food price inflation;October;%;12.392075
Brazil;2016;Food price inflation;November;%;10.151549
Brazil;2016;Food price inflation;December;%;8.610409
Brazil;2017;Food price inflation;January;%;6.560869
Brazil;2017;Food price inflation;February;%;4.968795
Brazil;2017;Food price inflation;March;%;4.035763
Brazil;2017;Food price inflation;April;%;3.510836
Brazil;2017;Food price inflation;May;%;2.350244
Brazil;2017;Food price inflation;June;%;1.120443
Brazil;2017;Food price inflation;July;%;-0.666068
Brazil;2017;Food price inflation;August;%;-2.02286
Brazil;2017;Food price inflation;September;%;-2.140795
