Area,ISO3,Year_Label,Year_Start,Year_End,Undernourishment_Prevalence_Pct,Value_Original,Is_Below_Threshold,Unit,Data_Quality
Brazil,BRA,2014-2016,2014,2016,2.5,<2.5,True,%,Estimated value
Brazil,BRA,2015-2017,2015,2017,2.5,<2.5,True,%,Estimated value
Brazil,BRA,2016-2018,2016,2018,2.5,<2.5,True,%,Estimated value
Brazil,BRA,2017-2019,2017,2019,2.5,<2.5,True,%,Estimated value
Brazil,BRA,2018-2020,2018,2020,2.5,<2.5,True,%,Estimated value
Brazil,BRA,2019-2021,2019,2021,2.8,2.8,False,%,Estimated value
Brazil,BRA,2020-2022,2020,2022,3.5,3.5,False,%,Estimated value
Brazil,BRA,2021-2023,2021,2023,3.4,3.4,False,%,Estimated value
Brazil,BRA,2022-2024,2022,2024,2.7,2.7,False,%,Estimated value
Brazil,BRA,2023-2025,2023,2025,2.5,<2.5,True,%,Estimated value
Egypt,EGY,2014-2016,2014,2016,6.5,6.5,False,%,Estimated value
Egypt,EGY,2015-2017,2015,2017,6.6,6.6,False,%,Estimated value
Egypt,EGY,2016-2018,2016,2018,6.5,6.5,False,%,Estimated value
Egypt,EGY,2017-2019,2017,2019,6.4,6.4,False,%,Estimated value
Egypt,EGY,2018-2020,2018,2020,6.5,6.5,False,%,Estimated value
Egypt,EGY,2019-2021,2019,2021,7.1,7.1,False,%,Estimated value
Egypt,EGY,2020-2022,2020,2022,8.0,8,False,%,Estimated value
Egypt,EGY,2021-2023,2021,2023,8.5,8.5,False,%,Estimated value
Egypt,EGY,2022-2024,2022,2024,8.6,8.6,False,%,Estimated value
Egypt,EGY,2023-2025,2023,2025,8.4,8.4,False,%,Estimated value
India,IND,2014-2016,2014,2016,12.4,12.4,False,%,Estimated value
India,IND,2015-2017,2015,2017,12.0,12,False,%,Estimated value
India,IND,2016-2018,2016,2018,10.6,10.6,False,%,Estimated value
India,IND,2017-2019,2017,2019,10.5,10.5,False,%,Estimated value
India,IND,2018-2020,2018,2020,11.8,11.8,False,%,Estimated value
India,IND,2019-2021,2019,2021,13.2,13.2,False,%,Estimated value
India,IND,2020-2022,2020,2022,13.9,13.9,False,%,Estimated value
India,IND,2021-2023,2021,2023,13.2,13.2,False,%,Estimated value
India,IND,2022-2024,2022,2024,11.5,11.5,False,%,Estimated value
India,IND,2023-2025,2023,2025,9.8,9.8,False,%,Estimated value
Italy,ITA,2014-2016,2014,2016,2.5,<2.5,True,%,Estimated value
Italy,ITA,2015-2017,2015,2017,2.5,<2.5,True,%,Estimated value
Italy,ITA,2016-2018,2016,2018,2.5,<2.5,True,%,Estimated value
Italy,ITA,2017-2019,2017,2019,2.5,<2.5,True,%,Estimated value
Italy,ITA,2018-2020,2018,2020,2.5,<2.5,True,%,Estimated value
Italy,ITA,2019-2021,2019,2021,2.5,<2.5,True,%,Estimated value
Italy,ITA,2020-2022,2020,2022,2.5,<2.5,True,%,Estimated value
Italy,ITA,2021-2023,2021,2023,2.5,<2.5,True,%,Estimated value
Italy,ITA,2022-2024,2022,2024,2.5,<2.5,True,%,Estimated value
Italy,ITA,2023-2025,2023,2025,2.5,<2.5,True,%,Estimated value
Kenya,KEN,2014-2016,2014,2016,21.2,21.2,False,%,Estimated value
Kenya,KEN,2015-2017,2015,2017,23.0,23,False,%,Estimated value
Kenya,KEN,2016-2018,2016,2018,24.8,24.8,False,%,Estimated value
Kenya,KEN,2017-2019,2017,2019,24.6,24.6,False,%,Estimated value
Kenya,KEN,2018-2020,2018,2020,25.8,25.8,False,%,Estimated value
Kenya,KEN,2019-2021,2019,2021,28.8,28.8,False,%,Estimated value
Kenya,KEN,2020-2022,2020,2022,33.4,33.4,False,%,Estimated value
Kenya,KEN,2021-2023,2021,2023,36.2,36.2,False,%,Estimated value
Kenya,KEN,2022-2024,2022,2024,36.4,36.4,False,%,Estimated value
Kenya,KEN,2023-2025,2023,2025,34.9,34.9,False,%,Estimated value
Nigeria,NGA,2014-2016,2014,2016,11.0,11,False,%,Estimated value
Nigeria,NGA,2015-2017,2015,2017,11.1,11.1,False,%,Estimated value
Nigeria,NGA,2016-2018,2016,2018,11.7,11.7,False,%,Estimated value
Nigeria,NGA,2017-2019,2017,2019,12.1,12.1,False,%,Estimated value
Nigeria,NGA,2018-2020,2018,2020,13.9,13.9,False,%,Estimated value
Nigeria,NGA,2019-2021,2019,2021,15.6,15.6,False,%,Estimated value
Nigeria,NGA,2020-2022,2020,2022,17.7,17.7,False,%,Estimated value
Nigeria,NGA,2021-2023,2021,2023,19.3,19.3,False,%,Estimated value
Nigeria,NGA,2022-2024,2022,2024,20.8,20.8,False,%,Estimated value
Nigeria,NGA,2023-2025,2023,2025,22.2,22.2,False,%,Estimated value
United States of America,USA,2014-2016,2014,2016,2.5,<2.5,True,%,Estimated value
United States of America,USA,2015-2017,2015,2017,2.5,<2.5,True,%,Estimated value
United States of America,USA,2016-2018,2016,2018,2.5,<2.5,True,%,Estimated value
United States of America,USA,2017-2019,2017,2019,2.5,<2.5,True,%,Estimated value
United States of America,USA,2018-2020,2018,2020,2.5,<2.5,True,%,Estimated value
United States of America,USA,2019-2021,2019,2021,2.5,<2.5,True,%,Estimated value
United States of America,USA,2020-2022,2020,2022,2.5,<2.5,True,%,Estimated value
United States of America,USA,2021-2023,2021,2023,2.5,<2.5,True,%,Estimated value
United States of America,USA,2022-2024,2022,2024,2.5,<2.5,True,%,Estimated value
United States of America,USA,2023-2025,2023,2025,2.5,<2.5,True,%,Estimated value
Uzbekistan,UZB,2014-2016,2014,2016,2.5,<2.5,True,%,Estimated value
Uzbekistan,UZB,2015-2017,2015,2017,2.5,<2.5,True,%,Estimated value
Uzbekistan,UZB,2016-2018,2016,2018,2.5,<2.5,True,%,Estimated value
Uzbekistan,UZB,2017-2019,2017,2019,2.5,<2.5,True,%,Estimated value
Uzbekistan,UZB,2018-2020,2018,2020,2.5,<2.5,True,%,Estimated value
Uzbekistan,UZB,2019-2021,2019,2021,2.5,<2.5,True,%,Estimated value
Uzbekistan,UZB,2020-2022,2020,2022,2.5,<2.5,True,%,Estimated value
Uzbekistan,UZB,2021-2023,2021,2023,2.5,<2.5,True,%,Estimated value
Uzbekistan,UZB,2022-2024,2022,2024,2.5,<2.5,True,%,Estimated value
Uzbekistan,UZB,2023-2025,2023,2025,2.5,<2.5,True,%,Estimated value
Vietnam,VNM,2014-2016,2014,2016,8.0,8,False,%,Estimated value
Vietnam,VNM,2015-2017,2015,2017,7.7,7.7,False,%,Estimated value
Vietnam,VNM,2016-2018,2016,2018,7.3,7.3,False,%,Estimated value
Vietnam,VNM,2017-2019,2017,2019,6.9,6.9,False,%,Estimated value
Vietnam,VNM,2018-2020,2018,2020,6.4,6.4,False,%,Estimated value
Vietnam,VNM,2019-2021,2019,2021,5.9,5.9,False,%,Estimated value
Vietnam,VNM,2020-2022,2020,2022,5.6,5.6,False,%,Estimated value
Vietnam,VNM,2021-2023,2021,2023,5.9,5.9,False,%,Estimated value
Vietnam,VNM,2022-2024,2022,2024,6.1,6.1,False,%,Estimated value
Vietnam,VNM,2023-2025,2023,2025,6.1,6.1,False,%,Estimated value
